AE051A,68-0213,C5M,10,Lockheed C-5M Super Galaxy
AE051D,68-0216,C5M,10,Lockheed C-5M Super Galaxy
AE052C,69-0006,C5M,10,Lockheed C-5M Super Galaxy
AE053A,69-0020,C5M,10,Lockheed C-5M Super Galaxy
AE053E,69-0024,C5M,10,Lockheed C-5M Super Galaxy
AE054D,70-0456,C5M,10,Lockheed C-5M Super Galaxy
AE0559,83-1285,C5M,10,Lockheed C-5M Super Galaxy
AE055B,84-0060,C5M,10,Lockheed C-5M Super Galaxy
AE055C,84-0061,C5M,10,Lockheed C-5M Super Galaxy
AE055D,84-0062,C5M,10,Lockheed C-5M Super Galaxy
AE055E,85-0001,C5M,10,Lockheed C-5M Super Galaxy
AE055F,85-0002,C5M,10,Lockheed C-5M Super Galaxy
AE0560,85-0003,C5M,10,Lockheed C-5M Super Galaxy
AE0561,85-0004,C5M,10,Lockheed C-5M Super Galaxy
AE0562,85-0005,C5M,10,Lockheed C-5M Super Galaxy
AE0563,85-0006,C5M,10,Lockheed C-5M Super Galaxy
AE0564,85-0007,C5M,10,Lockheed C-5M Super Galaxy
AE0565,85-0008,C5M,10,Lockheed C-5M Super Galaxy
AE0566,85-0009,C5M,10,Lockheed C-5M Super Galaxy
AE0567,85-0010,C5M,10,Lockheed C-5M Super Galaxy
AE0568,86-0011,C5M,10,Lockheed C-5M Super Galaxy
AE0569,86-0012,C5M,10,Lockheed C-5M Super Galaxy
AE056A,86-0013,C5M,10,Lockheed C-5M Super Galaxy
AE056B,86-0014,C5M,10,Lockheed C-5M Super Galaxy
AE056C,86-0015,C5M,10,Lockheed C-5M Super Galaxy
AE056D,86-0016,C5M,10,Lockheed C-5M Super Galaxy
AE056E,86-0017,C5M,10,Lockheed C-5M Super Galaxy
AE056F,86-0018,C5M,10,Lockheed C-5M Super Galaxy
AE0570,86-0019,C5M,10,Lockheed C-5M Super Galaxy
AE0571,86-0020,C5M,10,Lockheed C-5M Super Galaxy
AE0572,86-0021,C5M,10,Lockheed C-5M Super Galaxy
AE0573,86-0022,C5M,10,Lockheed C-5M Super Galaxy
AE0574,86-0023,C5M,10,Lockheed C-5M Super Galaxy
AE0575,86-0024,C5M,10,Lockheed C-5M Super Galaxy
AE0576,86-0025,C5M,10,Lockheed C-5M Super Galaxy
AE0577,86-0026,C5M,10,Lockheed C-5M Super Galaxy
AE0578,87-0027,C5M,10,Lockheed C-5M Super Galaxy
AE0579,87-0028,C5M,10,Lockheed C-5M Super Galaxy
AE057A,87-0029,C5M,10,Lockheed C-5M Super Galaxy
AE057B,87-0030,C5M,10,Lockheed C-5M Super Galaxy
AE057C,87-0031,C5M,10,Lockheed C-5M Super Galaxy
AE057D,87-0032,C5M,10,Lockheed C-5M Super Galaxy
AE057E,87-0033,C5M,10,Lockheed C-5M Super Galaxy
AE057F,87-0034,C5M,10,Lockheed C-5M Super Galaxy
AE0580,87-0035,C5M,10,Lockheed C-5M Super Galaxy
AE0581,87-0036,C5M,10,Lockheed C-5M Super Galaxy
AE0582,87-0037,C5M,10,Lockheed C-5M Super Galaxy
AE0583,87-0038,C5M,10,Lockheed C-5M Super Galaxy
AE0584,87-0039,C5M,10,Lockheed C-5M Super Galaxy
AE0585,87-0040,C5M,10,Lockheed C-5M Super Galaxy
AE0586,87-0041,C5M,10,Lockheed C-5M Super Galaxy
AE0587,87-0042,C5M,10,Lockheed C-5M Super Galaxy
AE0588,87-0043,C5M,10,Lockheed C-5M Super Galaxy
AE0589,87-0044,C5M,10,Lockheed C-5M Super Galaxy
AE058A,87-0045,C5M,10,Lockheed C-5M Super Galaxy
